,YEAR,COMPETITION,STAGE,Home,HomeScore,AwayScore,Away,ExtraEnd
0,1,Algeria League Play,1,Algiers,10,8,Tlemcen,False
1,1,Algeria League Play,1,Oran,13,8,Béchar,False
2,1,Algeria League Play,1,Constantine,12,8,Tiaret,False
3,1,Algeria League Play,1,Setif,16,11,El Oued,False
4,1,Algeria League Play,1,Batna,9,11,Médéa,False
5,1,Algeria League Play,1,Blida,9,10,Jijel,False
6,1,Algeria League Play,1,Annaba,18,9,Mostaganem,False
7,1,Algeria League Play,1,Djelfa,8,7,Skikda,True
8,1,Algeria League Play,1,Biskra,6,7,Sidi Bel Abbes,False
9,1,Algeria League Play,1,Bejaia,9,12,Tébessa,False
10,1,Angola League Play,1,Luanda,12,9,Menongue,False
11,1,Angola League Play,1,Huambo,16,11,Saurimo,False
12,1,Angola League Play,1,Lobito,6,5,Soyo,True
13,1,Angola League Play,1,Cabinda,16,7,Cazombo,False
14,1,Angola League Play,1,Lubango,16,8,Lucapa,False
15,1,Angola League Play,1,Benguela,10,14,Ndalatando,False
16,1,Angola League Play,1,Malanje,11,7,Xangongo,False
17,1,Angola League Play,1,Sumbe,9,13,Longonjo,False
18,1,Angola League Play,1,Uige,10,9,Dundo,False
19,1,Angola League Play,1,Namibe,13,9,Kuito,False
20,1,Argentina League Play,1,Buenos Aires,7,9,Santiago del Estero,False
21,1,Argentina League Play,1,Cordoba,10,4,General Pueyrredon,False
22,1,Argentina League Play,1,Rosario,8,9,Neuquen,False
23,1,Argentina League Play,1,Mendoza,12,9,Corrientes,False
24,1,Argentina League Play,1,Tucuman,12,10,Resistencia,False
25,1,Argentina League Play,1,La Plata,15,9,San Juan,False
26,1,Argentina League Play,1,Mar del Plata,8,10,Florencio Varela,False
27,1,Argentina League Play,1,Salta,8,13,Moreno,False
28,1,Argentina League Play,1,Quilmes,8,10,Lanus,False
29,1,Argentina League Play,1,Santa Fe,10,15,Almirante Brown,False
30,1,Australia League Play,1,Sydney,10,11,Mackay,False
31,1,Australia League Play,1,Melbourne,13,8,Launceston,False
32,1,Australia League Play,1,Brisbane,9,7,Ballarat,False
33,1,Australia League Play,1,Perth,9,8,Bendigo,False
34,1,Australia League Play,1,Adelaide,18,8,Darwin,False
35,1,Australia League Play,1,Gold Coast,10,9,Toowoomba,True
36,1,Australia League Play,1,Canberra,10,9,Cairns,False
37,1,Australia League Play,1,Sunshine Coast,11,10,Townsville,False
38,1,Australia League Play,1,Wollongong,11,14,Hobart,False
39,1,Australia League Play,1,Newcastle,10,8,Geelong,False
40,1,Austria League Play,1,Vienna,16,7,Amstetten,False
41,1,Austria League Play,1,Graz,16,6,Traun,False
42,1,Austria League Play,1,Linz,20,9,Krems,False
43,1,Austria League Play,1,Salzburg,16,9,Leoben,False
44,1,Austria League Play,1,Innsbruck,14,10,Bregenz,False
45,1,Austria League Play,1,Klagenfurt,9,8,Feldkirch,False
46,1,Austria League Play,1,Wels,11,6,Leonding,False
47,1,Austria League Play,1,Villach,12,7,Klosterneuburg,False
48,1,Austria League Play,1,Sankt Polten,12,9,Steyr,False
49,1,Austria League Play,1,Dornbirn,5,9,Wiener Neustadt,False
50,1,Bangladesh League Play,1,Dhaka,24,10,Chandpur,False
51,1,Bangladesh League Play,1,Chittagong,10,9,Faridpur,False
52,1,Bangladesh League Play,1,Gazipur,11,8,Tangail,False
53,1,Bangladesh League Play,1,Narayanganj,11,10,Nawabganj,False
54,1,Bangladesh League Play,1,Khulna,10,8,Tongi,False
55,1,Bangladesh League Play,1,Rajshahi,7,6,Barisal,False
56,1,Bangladesh League Play,1,Sylhet,13,8,Jessore,False
57,1,Bangladesh League Play,1,Savar,7,8,Bogra,False
58,1,Bangladesh League Play,1,Comilla,10,15,Dinajpur,False
59,1,Bangladesh League Play,1,Mymensingh,7,8,Rangpur,False
60,1,Belgium League Play,1,Brussels,13,9,Roeselare,False
61,1,Belgium League Play,1,Antwerp,17,10,Seraing,False
62,1,Belgium League Play,1,Ghent,10,7,Ostend,False
63,1,Belgium League Play,1,Charleroi,13,8,Genk,False
64,1,Belgium League Play,1,Liege,11,8,Tournai,False
65,1,Belgium League Play,1,Bruges,6,5,La Louviere,True
66,1,Belgium League Play,1,Namur,15,10,Hasselt,False
67,1,Belgium League Play,1,Leuven,9,8,Kortrijk,False
68,1,Belgium League Play,1,Mons,11,17,Sint-Niklaas,False
69,1,Belgium League Play,1,Aalst,7,10,Mechelen,False
70,1,Brazil League Play,1,Sao Paulo,8,7,Joao Pessoa,False
