,YEAR,COMPETITION,STAGE,Home,HomeScore,AwayScore,Away,ExtraEnd
0,1,Europe CL Quals Path 1,SF,Salzburg,11,8,Antwerp,False
1,1,Europe CL Quals Path 2,SF,Bucharest,11,10,Espoo,True
2,1,Europe CL Quals Path 2,SF,Glasgow,9,13,Cork,False
3,1,Europe CL Quals Path 3,SF,Prague,16,10,Porto,False
4,1,Europe CL Quals Path 3,SF,Padua,7,8,Almere,False
5,1,Europe CL Quals Path 4,SF,Lisbon,9,7,Brno,False
6,1,Europe CL Quals Path 4,SF,Cologne,9,11,Bergen,False
7,1,Europe CL Quals Path 5,SF,Helsinki,9,12,Cluj-Napoca,False
8,1,Europe CL Quals Path 5,SF,Lyon,10,8,Warsaw,False
9,1,Europe CL Quals Path 6,SF,Athens,11,9,Copenhagen,False
10,1,Europe CL Quals Path 6,SF,Kyiv,11,15,Gothenburg,False
11,1,Europe CL Quals Path 7,SF,Budapest,13,8,Bursa,False
12,1,Europe CL Quals Path 7,SF,Bratislava,10,16,Basel,False
13,1,Asia CL Quals Path 1,Final,Beijing,10,9,Sakai,False
14,1,Asia CL Quals Path 2,Final,Kolkata,10,9,Visakhapatnam,False
15,1,Asia CL Quals Path 3,Final,Kyoto,11,8,Shanghai,False
16,1,Asia CL Quals Path 4,Final,Adelaide,12,10,Haiphong,False
17,1,Asia CL Quals Path 5,Final,Bandung,12,10,Caloocan,False
18,1,Asia CL Quals Path 6,Final,Daegu,9,11,Karachi,False
19,1,Asia CL Quals Path 7,Final,Chittagong,11,10,Christchurch,True
20,1,Asia CL Quals Path 8,Final,Hong Kong,10,14,Kuching,False
21,1,Americas CL Stage 1 Path 1,1,Rosario,7,8,Brasilia,False
22,1,Americas CL Stage 1 Path 1,1,Concepcion,11,13,Hamilton,False
23,1,Americas CL Stage 1 Path 2,1,Lima,9,8,Philadelphia,True
24,1,Americas CL Stage 1 Path 2,1,Guayaquil,9,12,Mexico City,False
25,1,Americas CL Stage 1 Path 3,1,Santiago,11,7,Vancouver,False
26,1,Americas CL Stage 1 Path 3,1,Mississauga,7,6,Curitiba,False
